Title,listing_title,short_description,Description,Segment,listing_image,Images,detail_url,Website,Email,ContactPhone,Founders,Status,Investments,Certification,Team,Programs,LookingForTeam
“Avtomend”,“Avtomend”,Avtomobil parklarının idarə edilməsi üçün onlayn platforma,Avtomobil parklarının idarə edilməsi üçün onlayn platforma,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/avtomend.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/avtomend.png,https://www.startup.az/startup-content/avtomend-483,https://avtomend.az/,info@avtomend.az,+99450 201 46 54,“Avtomend”  MMC,İşləyir,Axtarılmır,Var,,,
“Azari Express” layihəsi,“Azari Express” layihəsi,Kuryer xidmətlərinin idarəedilməsi üçün onlayn platforma,Kuryer xidmətlərinin idarəedilməsi üçün onlayn platforma,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-2.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-2.png,https://www.startup.az/startup-content/azari-express-layihesi-397,https://azariexpress.az/,office@azariexpress.az,+994 12 596 68 62,“Azari” MMC,İşləyir,Axtarılmır,Var,,,
AzDimension,AzDimension,"AzDimension oyunlar və innovasiyalar üzrə ixtisaslaşmış müstəqil şirkətdir Komanda həm yerli, həm də beynəlxalq layihələrdə işləmiş təcrübəli proqramçılardan ibarətdir","AzDimension oyunlar və innovasiyalar üzrə ixtisaslaşmış müstəqil şirkətdir. Komanda həm yerli, həm də beynəlxalq layihələrdə işləmiş təcrübəli proqramçılardan ibarətdir.",Oyun,https://www.startup.az/frontend/web/uploads//images/azdemension.jpeg,https://www.startup.az/frontend/web/uploads//images/azdemension.jpeg,https://www.startup.az/startup-content/azdimension-101,https://azdimension.az/,azdimension@gmail.com,-----,-----,Satış edir,Axtarılmır,Yoxdur,1-10,,
"""AZDO CUSPERCO""","""AZDO CUSPERCO""",Sifarişçi və icraçılar üçün onlayn platforma,Sifarişçi və icraçılar üçün onlayn platforma,Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/azdo.png,https://www.startup.az/frontend/web/uploads//images/azdo.png,https://www.startup.az/startup-content/azdo-cusperco-177,-----,info@startup.az,,"""CUSPERCO"" MMC",İşləyir,Axtarılmır,Var,,,
“Azprofeed”,“Azprofeed”,Kənd təsərrüfatı və qida tullantılarının emalı ilə alternativ yağ və proteinlərin istehsalı,Kənd təsərrüfatı və qida tullantılarının emalı ilə alternativ yağ və proteinlərin istehsalı,Kənd təsərrüfatı,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/azprofeed-448,-----,info@startup.az,,Mirzəyev Rafiq,İşləyir,Axtarılmır,Var,,,
"""Aztruck"" layihəsi","""Aztruck"" layihəsi",Ağır tonnajlı tərəzilər üçün proqram təminatı,Ağır tonnajlı tərəzilər üçün proqram təminatı,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startuplar/aztruck.jpg,https://www.startup.az/frontend/web/uploads//images/Startuplar/aztruck.jpg,https://www.startup.az/startup-content/aztruck-layihesi-366,https://avtomatika.az/,info@avtomatika.az,(+99455) 714 26 66,"""AvtomatikaAz"" MMC",İşləyir,25 min AZN-ə qədər,Var,,,
"""Bahshish.me""","""Bahshish.me""",Nağdsız bəxşiş ödəmə sistemiNağdsız bəxşiş ödəmə sistemi,Nağdsız bəxşiş ödəmə sistemiNağdsız bəxşiş ödəmə sistemi,Maliyyə və e-ticarət,,,https://www.startup.az/startup-content/bahshish.me-224,https://bahshish.me/,support@bahshish.me,0553808839,,Satış edir,Axtarılmır,Var,,,
“Baku Safe Locker”,“Baku Safe Locker”,Əl baqajlarının saxlanılması üçün özünəxidmət köşkləri,Əl baqajlarının saxlanılması üçün özünəxidmət köşkləri,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/bakusafe.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/bakusafe.png,https://www.startup.az/startup-content/baku-safe-locker-492,https://bakusafelocker.com/az/esas-s%C9%99hif%C9%99/,info@bakusafelocker.com,(+994) 55 888 48 25,Mütəllimova Aytac,İşləyir,Axtarılmır,Var,,,
Bein.az,Bein.az,Biznes subyektlərində elektron idarəetmənin təşkili üçün bulud tipli proqram təminatı,Biznes subyektlərində elektron idarəetmənin təşkili üçün bulud tipli proqram təminatı,Marketinq,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/bein.az-178,https://bein.az/,support@bein.az,+99450 2072240,Bein.az,İşləyir,Axtarılmır,Var,,,
Bildir.az,Bildir.az,"Platforma minlərlə istifadəçinin onlayn rejimdə ünsiyyət qurduğu, rəylərin ictimailəşdirildiyi və qiymətləndirildiyi bir yerdir Bir marka və ya məhsulu nəzərdən keçirərək, müsbət və mənfi cəhətlərini bölüşə, həmçinin təəssüratlarınız haqda başqalarına da məlumat verə bilərsiniz","Platforma minlərlə istifadəçinin onlayn rejimdə ünsiyyət qurduğu, rəylərin ictimailəşdirildiyi və qiymətləndirildiyi bir yerdir. Bir marka və ya məhsulu nəzərdən keçirərək, müsbət və mənfi cəhətlərini bölüşə, həmçinin təəssüratlarınız haqda başqalarına da məlumat verə bilərsiniz",Marketinq,https://www.startup.az/frontend/web/uploads//images/files/img/startup-days-mentors/bildiraz.png,https://www.startup.az/frontend/web/uploads//images/files/img/startup-days-mentors/bildiraz.png,https://www.startup.az/startup-content/bildir.az-212,https://www.bildir.az/,info@bildir.az,+994512292505,,Satış edir,1 milyon AZN +,Yoxdur,,,
“BillKill”,“BillKill”,Borcların hesablanması və yığımı üçün onlayn platforma,Borcların hesablanması və yığımı üçün onlayn platforma,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/billkill.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/billkill.png,https://www.startup.az/startup-content/billkill-478,https://www.billkill.az/,support@billkill.az,(+99451) 830 64 93,“Billing Pro” MMC,İşləyir,Axtarılmır,Var,,,
“BirDoc”,“BirDoc”,Sənədlərin idarəedilməsi və elektron imzalanması üçün platforma,Sənədlərin idarəedilməsi və elektron imzalanması üçün platforma,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/birdoc-470,-----,info@startup.az,,"""Optima Business Solutions"" MMC",İşləyir,Axtarılmır,Var,,,
Bonpini,Bonpini,Daşınmaz əmlakın şərikli kirayəsi üçün sosial şəbəkədir,Daşınmaz əmlakın şərikli kirayəsi üçün sosial şəbəkədir,Ev və yaşayış,https://www.startup.az/frontend/web/uploads//images/files/img/startup/bonpini.png,https://www.startup.az/frontend/web/uploads//images/files/img/startup/bonpini.png,https://www.startup.az/startup-content/bonpini-264,https://bonpini.com/,info@bonpini.az,+994 55 225 10 85,"Elmin İsgəndərov, Gül Əliyeva",İşləyir,Axtarılmır,Yoxdur,"1 Digital Marketing specialist, 1 Business development manager, 1 product manager",ABB Tech Akademiyası,Xeyr
“Bucard”,“Bucard”,Rəqəmsal biznes şəbəkəsi platforması,Rəqəmsal biznes şəbəkəsi platforması,Marketinq,https://www.startup.az/frontend/web/uploads//images/eco-system/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/eco-system/kobia.jpg,https://www.startup.az/startup-content/bucard-338,http://vxsida.gov.az/az,info@startup.az,,Əkbərov Ramin Yaqub oğlu,İşləyir,Axtarılmır,Var,,,
"""Buta Vending""","""Buta Vending""",Hazır qidaların satışı üçün (sneklər) avtomatlaşdırılmış köşklərin istehsalı,Hazır qidaların satışı üçün (sneklər) avtomatlaşdırılmış köşklərin istehsalı,Ev və yaşayış,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/buta-vending-174,butavending.az,info@startup.az,,"""Buta Vending"" MMC",İşləyir,Axtarılmır,Yoxdur,,,
“BYQR”,“BYQR”,Restoranlar və otellər üçün rəqəmsal menu platforması,Restoranlar və otellər üçün rəqəmsal menu platforması,Əyləncə,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-5.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/images-5.png,https://www.startup.az/startup-content/byqr-467,https://byqrapp.com/en,contact@byqrapp.com,+994 70 324 54 14,“BYQR” MMC,İşləyir,Axtarılmır,Var,,,
Cagir.az,Cagir.az,Məişət xidmətlərinin alqı-satqısı üçün onlayn platforma,Məişət xidmətlərinin alqı-satqısı üçün onlayn platforma,Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/cagir.jpg,https://www.startup.az/frontend/web/uploads//images/cagir.jpg,https://www.startup.az/startup-content/cagir.az-165,Cagir.az,info@cagir.az,994 51 492 02 20,Təbriz Zeynalov,Satış edir,25 min AZN-ə qədər,Var,,,
"""CagroSoft"" layihəsi","""CagroSoft"" layihəsi",Logistika şirkətləri üçün ixtisaslaşmış proqram təminatı (SaaS),Logistika şirkətləri üçün ixtisaslaşmış proqram təminatı (SaaS),Marketinq,https://www.startup.az/frontend/web/uploads//images/Startuplar/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/Startuplar/kobia.jpg,https://www.startup.az/startup-content/cagrosoft-layihesi-387,cagrosoft.az,info@startup.az,050 299 99 57,“İni.az” MMC,Bağlanıb,Axtarılmır,Var,,,
Cib.Business,Cib.Business,"Startap layihəsi biznesinizi inkişaf etdirmək üçün lazım olan bütün satış və e-ticarət imkanları bir platformada toplayıb CİB Biznes bütün satış proseslərini optimallaşdıran, inkişaf etdirən hamısı birində həldir","Startap layihəsi biznesinizi inkişaf etdirmək üçün lazım olan bütün satış və e-ticarət imkanları bir platformada toplayıb. CİB Biznes bütün satış proseslərini optimallaşdıran, inkişaf etdirən hamısı birində həldir.",Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/files/img/startup-days-mentors/cib.png,https://www.startup.az/frontend/web/uploads//images/files/img/startup-days-mentors/cib.png,https://www.startup.az/startup-content/cib.business-213,https://cib.business/az/home/,info@cib.business,055 202 71 55,,Satış edir,1 milyon AZN +,Yoxdur,,,
"“CİBPay""","“CİBPay""",Çoxfunksiyalı ödəniş platforması,Çoxfunksiyalı ödəniş platforması,Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/cibpay.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/cibpay.png,https://www.startup.az/startup-content/cibpay-469,https://cibpay.az/,support@cibpay.az,,"“CİBPay""  MMC",İşləyir,Axtarılmır,Var,,,
“Classroomy”,“Classroomy”,İnteraktiv video təlim və kommunikasiya platforması,İnteraktiv video təlim və kommunikasiya platforması,Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/classroomy-453,-----,info@startup.az,,Gülmalızadə Rüfət,İşləyir,Axtarılmır,Var,,,
Clopos,Clopos,"Clopos restoran və pərakəndə satış biznesinizi avtomatlaşdırır Çox funksiyalı bulud əsaslı POS proqramı ilə evdə, yolda və ya Marsda satışa, əməkdaşlara, anbara, maliyyə axınına nəzarəti əlinizdə saxlayın","Clopos restoran və pərakəndə satış biznesinizi avtomatlaşdırır. Çox funksiyalı bulud əsaslı POS proqramı ilə evdə, yolda və ya Marsda satışa, əməkdaşlara, anbara, maliyyə axınına nəzarəti əlinizdə saxlayın. Biznesinizi ətraflı analiz edərək onun yeni yüksəliş yolunu çizin.",Həyat tərzi,https://www.startup.az/frontend/web/uploads//images/clopos.jpg,https://www.startup.az/frontend/web/uploads//images/clopos.jpg,https://www.startup.az/startup-content/clopos-204,https://www.clopos.com/,info@clopos.com,070 540 10 40,,Satış edir,1 milyon AZN +,Var,,,
“Coffeein”,“Coffeein”,"Kofeşop, kafe və restoranlarda abunəlik və keşbek funksiyalı alış imkanı verən mobil tətbiq","Kofeşop, kafe və restoranlarda abunəlik və keşbek funksiyalı alış imkanı verən mobil tətbiq",Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/coffein.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/coffein.jpg,https://www.startup.az/startup-content/coffeein-484,https://coffeein.az/,info@startup.az,,“Firstit” MMC,Satış edir,Axtarılmır,Var,,,
“Cool Bears”,“Cool Bears”,Mobil və veb oyunların tərtibi və istehsalı,Mobil və veb oyunların tərtibi və istehsalı,Oyun,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/unnamed.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/unnamed.jpg,https://www.startup.az/startup-content/cool-bears-418,https://cool-bears.com/,-----,-----,"""Cool Bears"" MMC",İşləyir,Axtarılmır,Var,,,
“Dahi.az”,“Dahi.az”,Şagirdlər üçün oyun əsaslı onlayn təhsil platforması,Şagirdlər üçün oyun əsaslı onlayn təhsil platforması,Təhsil,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/dahiaz.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/dahiaz.png,https://www.startup.az/startup-content/dahi.az-440,https://dahi.az/,info@dahi.az,+994706531929,Əlizadə Şəmistan,İşləyir,Axtarılmır,Var,,,
"""Digital Material Purchasing""","""Digital Material Purchasing""",Satınalma prosesinin təşkili üçün onlayn platforma,Satınalma prosesinin təşkili üçün onlayn platforma,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/DMD.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/DMD.jpg,https://www.startup.az/startup-content/digital-material-purchasing-447,-----,info@startup.az,,"""Prodigitrack"" MMC",İşləyir,Axtarılmır,Var,,,
"""E-legal""","""E-legal""",Hüquq məsləhət xidmətlərinin onlayn təşkili,Hüquq məsləhət xidmətlərinin onlayn təşkili,Həyat tərzi,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/e-legal-193,shebibova@yahoo.com,shebibova@yahoo.com,994 50 733 00 99,S. Həbibova,Satış edir,25 min AZN-ə qədər,Var,,,
“E-mza”,“E-mza”,"Sənədlərin elektron hazırlanması, elektron imza ilə imzalanması, saxlanılması və idarəedilməsi üçün onlayn platforma (mobil tətbiq)","Sənədlərin elektron hazırlanması, elektron imza ilə imzalanması, saxlanılması və idarəedilməsi üçün onlayn platforma (mobil tətbiq)",Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/emza.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/emza.png,https://www.startup.az/startup-content/e-mza-488,https://e-mza.az/,info@e-mza.app,,“E-mza”  MMC,İşləyir,Axtarılmır,Var,,,
“E-sayar”,“E-sayar”,Onlayn mühasibat uçotu proqramı,Onlayn mühasibat uçotu proqramı,Marketinq,https://www.startup.az/frontend/web/uploads//images/files/img/people-org-comitet/E-SAYAR.png,https://www.startup.az/frontend/web/uploads//images/files/img/people-org-comitet/E-SAYAR.png,https://www.startup.az/startup-content/e-sayar-226,https://www.e-sayar.az/,info@e-sayar.az,"+994125144447, +994552992254",,Satış edir,Axtarılmır,Var,,,
“Eattable”,“Eattable”,Onlayn restoran tövsiyə və rezervasiya platforması (mobil tətbiqi),Onlayn restoran tövsiyə və rezervasiya platforması (mobil tətbiqi),Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/Eattable.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/Eattable.png,https://www.startup.az/startup-content/eattable-441,https://eattable.com/,info@eattable.com,,“Eattable” MMC,İşləyir,Axtarılmır,Var,,,
“Ebilestore”,“Ebilestore”,Kütləvi tədbir təşkilatçıları üçün onlayn idarəetmə və bilet satışı platforması,Kütləvi tədbir təşkilatçıları üçün onlayn idarəetmə və bilet satışı platforması,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/ebilestore-477,-----,info@startup.az,,“Eventa” MMC,Satış edir,Axtarılmır,Var,,,
“ECOyem” layihəsi,“ECOyem” layihəsi,"Tullantı qida qalıqlarının təkrar emalı, it və pişiklər üçün konservləşdirilmiş yem istehsalı","Tullantı qida qalıqlarının təkrar emalı, it və pişiklər üçün konservləşdirilmiş yem istehsalı",Ekologiya,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/ecoyem-layihesi-394,http://vxsida.gov.az/az,-----,-----,Cabbarov Cavid Əlövsət oğlu,İşləyir,Axtarılmır,Var,,,
Edumap.az,Edumap.az,"Edumapaz kollektivi olaraq biz gəncləri, cəmiyyətimizi təhsil sahəsindəki yeniliklər barədə məlumatlandırmaq, layihə, təlim, seminar və xaricdəki təhsil imkanları barədə yenilikləri onlarla paylaşmaq məqsədi ilə saytı ərsəyə gətirmişik","Edumap.az kollektivi olaraq biz gəncləri, cəmiyyətimizi təhsil sahəsindəki yeniliklər barədə məlumatlandırmaq, layihə, təlim, seminar və xaricdəki təhsil imkanları barədə yenilikləri onlarla paylaşmaq məqsədi ilə saytı ərsəyə gətirmişik. Sayt daha çox təhsil yönümlü xəbərlərin istehsalı üzrə ixtisaslaşıb. Hədəfimiz gənclərin hərtərəfli inkişafı üçün təhsil imkanları barədə onlara məlumat vermək, onların bilik və bacarıqlarının inkişaf etdirilməsi istiqamətində təşəbbüslərini dəstəkləməkdir.",Təhsil,https://www.startup.az/uploads/images/startup/1064/VILx8QxRCn.png,https://www.startup.az/uploads/images/startup/1064/VILx8QxRCn.png,https://www.startup.az/startup-content/edumap.az-76,http://vxsida.gov.az/az,info@edumap.az,,"Rasim Abdurəhmanov, Toğrul Bayramlı",MVP,50 min AZN -ə,Yoxdur,"Sahil Qələndərov, Azər Məmmədli, Günay Məmmədova",,"Marketinq, SMM mentorlar"
